SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
759,vivo,V3,2016 April,Yes,Non-removable Li-Ion 2550 mAh battery,4.1| A2DP| LE,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939v2 Snapdragon 616,Gold,143.6 x 71 x 7.5 mm (5.65 x 2.80 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16/32 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.1| phase detection autofocus| LED flash,3 GB RAM,FM radio,Dual SIM,8 MP| f/2.3,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 April,microUSB 2.0| USB Host
760,vivo,Y67,2016 November,Yes,Non-removable Li-Ion 3000 mAh battery,4.0| A2DP,Octa-core 1.5 GHz Cortex-A53,Mediatek MT6750,Gold| Pink Gold,153.8 x 75.5 x 7.6 mm (6.06 x 2.97 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Mali-T860MP2,32 GB,Yes,microSD up to 256 GB,GSM / CDMA / HSPA / LTE,Android 6.0 (Marshmallow),13 MP| f/2.2| autofocus| LED flash,4 GB RAM,FM radio,Dual SIM,16 MP| f/2.0| 1080p,Fingerprint (front-mounted)| accelerometer| proximity| compass,Available. Released 2016 November,microUSB 2.0| USB On-The-Go
761,vivo,Y37,2015 August,Yes,Non-removable Li-Po 2720 mAh battery,4.0| A2DP| EDR,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,White,154 x 77 x 6.8 mm (6.06 x 3.03 x 0.27 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0 USB On-The-Go
762,vivo,Y25,2017 March,Yes,Li-Ion 1900 mAh battery,4.0| A2DP,Quad-core 1.3 GHz,Mediatek MT6580,White/Gray,130.7 x 66.4 x 9.2 mm (5.15 x 2.61 x 0.36 in),IPS LCD capacitive touchscreen 16M colors,(undefined),16 GB,Yes,microSD up to 256 GB,GSM / HSPA / LTE,Android 5.1 (Lollipop),5 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM,2 MP,Accelerometer| proximity,Available. Released 2017 March,microUSB 2.0| USB On-The-Go
763,vivo,V1 Max,2015 August,Yes,Non-removable Li-Po 2720 mAh battery,4.0| A2DP| EDR,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,White,154 x 77 x 6.8 mm (6.06 x 3.03 x 0.27 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0 USB On-The-Go
764,vivo,V5,2016 November,Yes,Non-removable Li-Ion 3000 mAh battery,4.0| A2DP,Octa-core 1.5 GHz Cortex-A53,Mediatek MT6750,Gold| Gray,153.8 x 75.5 x 7.6 mm (6.06 x 2.97 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Mali-T860MP2,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),13 MP| phase detection autofocus| LED flash|,4 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),"20 MP| f/2.0| 1/2.8"" sensor size| 1080p",Fingerprint (front-mounted)| accelerometer| proximity| compass,Available. Released 2016 November,microUSB 2.0| USB On-The-Go
765,vivo,X7,2016 June,Yes,Non-removable Li-Ion 3000 mAh battery,4.0| A2DP,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Gold| Rose Gold,147.3 x 71.3 x 7.2 mm (5.80 x 2.81 x 0.28 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 510,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / CDMA2000 / LTE,Android 5.1 (Lollipop),13 MP| f/2.2| phase detection autofocus| LED flash,4 GB RAM,No,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),16 MP| f/2.0| LED flash,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 July,microUSB 2.0| USB Host
766,vivo,Y15S,2015 August,Yes,Removable Li-Po 1900 mAh battery,4.0| A2DP| EDR,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580,White| Black,131.4 x 66.2 x 9 mm (5.17 x 2.61 x 0.35 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,8 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 5.1 (Lollipop),5 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0 USB On-The-Go
767,vivo,X6Plus,2015 November,Yes,Non-removable Li-Ion 3000 mAh battery,4.0| A2DP,Octa-core 1.7 GHz Cortex-A53,Mediatek MT6752,Silver| Gold| Rose Gold,158.4 x 80 x 6.9 mm (6.24 x 3.15 x 0.27 in),Super AMOLED capacitive touchscreen 16M colors,Mali-T760MP2,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| phase detection autofocus| LED flash,4 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2015 December,microUSB 2.0| USB Host
768,vivo,Y51,2015 December,Yes,Non-removable Li-Ion 2350 mAh battery,Yes,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,White,143.8 x 71.7 x 7.5 mm (5.66 x 2.82 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0.2 (Lollipop),8 MP| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM,5 MP,Accelerometer| proximity| compass,Available. Released 2015 December,microUSB 2.0
769,vivo,X6S,2016 March,Yes,Non-removable Li-Ion 2400 mAh battery,4.0| A2DP,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Silver| Gold| Rose Gold,147.9 x 73.8 x 6.7 mm (5.82 x 2.91 x 0.26 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 510,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.2| phase detection autofocus| LED flash,4 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.4,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 April,microUSB 2.0| USB Host
770,vivo,V5 Plus,2017 January,Yes,Non-removable Li-Ion 3160 mAh battery,4.0| A2DP,Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Gold| Gray,152.6 x 74 x 7.3 mm (6.01 x 2.91 x 0.29 in),IPS LCD capacitive touchscreen 16M colors,Adreno 506,64 GB,Yes,No,GSM / HSPA / LTE,Android 6.0 (Marshmallow),16 MP| f/2.0| phase detection autofocus| LED flash|,4 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),"Dual 20 MP + 8 MP| f/2.0| 1/2.8"" sensor size| 1080p",Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2017 January,microUSB 2.0| USB On-The-Go
771,vivo,Y35,2015 July,Yes,Non-removable Li-Po 2300 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,White/Gold,143.3 x 71 x 6.8 mm (5.64 x 2.80 x 0.27 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP,Accelerometer| proximity| compass,Available. Released 2015 July,microUSB 2.0 USB On-The-Go
772,vivo,Xplay3S,2013,Yes,Non-removable Li-Po 3200 mAh battery,4.0| A2DP| EDR,Quad-core 2.3 GHz Krait 400,Qualcomm Snapdragon 801,White,158.2 x 82.6 x 8.7 mm (6.23 x 3.25 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Adreno 330,32 GB,Yes,No,GSM / HSPA / LTE,Android 4.3 (Jelly Bean),13 MP| autofocus| LED flash,3 GB RAM,No,Micro-SIM,5 MP,Accelerometer| gyro| proximity| compass,Available. Released 2013,microUSB 2.0| USB Host
773,vivo,Y22,2013,Yes,Removable Li-Ion 1900 mAh battery,4.0| A2DP| EDR,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,White| Black,130.5 x 66.9 x 8.6 mm (5.14 x 2.63 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,4 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 4.2.2 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),Yes,Accelerometer| proximity| compass,Available. Released 2013,microUSB 2.0
774,vivo,X6,2015 November,Yes,Non-removable Li-Ion 2400 mAh battery,4.0| A2DP,Octa-core 1.7 GHz Cortex-A53,Mediatek MT6752,Silver| Gold| Rose Gold,147.9 x 73.8 x 6.7 mm (5.82 x 2.91 x 0.26 in),Super AMOLED capacitive touchscreen 16M colors,Mali-T760MP2,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.2| phase detection autofocus| LED flash,4 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.4,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2015 December,microUSB 2.0| USB Host
775,vivo,Y55s,2017 February,Yes,Non-removable Li-Ion 2730 mAh battery,4.2| A2DP| LE,Quad-core 1.4 GHz Cortex-A53,Qualcomm MSM8917 Snapdragon 425,Crown Gold| Rose Gold| Space Gray,147.9 x 72.9 x 7.5 mm (5.82 x 2.87 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),13 MP| f/2.2| autofocus| LED flash,2/3 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),5 MP| f/2.2,Accelerometer| proximity| compass,Available. Released 2017 February,microUSB 2.0| USB On-The-Go
776,vivo,X5Max+,2015 March,Yes,Non-removable Li-Ion 2300 mAh battery,4.0| A2DP,Octa-core 1.7 GHz Cortex-A53,Mediatek MT6752,White,153.9 x 78 x 5.1 mm (6.06 x 3.07 x 0.20 in),Super AMOLED capacitive touchscreen 16M colors,Mali-T760MP2,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / LTE,Android 4.4.4 (KitKat),13 MP| autofocus| LED flash,2 GB RAM,To be confirmed,Dual SIM (Nano-SIM/ Micro-SIM),5 MP,Accelerometer| gyro| proximity| compass,Available. Released 2015 March,microUSB 2.0| USB Host
777,Oppo,R7,2015 May,Yes,Non-removable Li-Po 2320 mAh battery,4.0| A2DP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Golden| Silver,143 x 71 x 6.3 mm (5.63 x 2.80 x 0.25 in),AMOLED capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 4.4.2 (KitKat),13 MP| f/2.2| Schneider-Kreuznach optics| phase detection autofocus| LED flash|,3 GB RAM,No,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.4,Accelerometer| proximity| compass,Available. Released 2015 May,microUSB 2.0| USB Host
778,Oppo,R1 R829T,2013 December,Yes,Non-removable Li-Ion 2410 mAh battery,4.0| A2DP,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,White| Black,142.7 x 70.4 x 7.1 mm (5.62 x 2.77 x 0.28 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,16 GB,Yes,No,GSM,Android 4.2.1 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,Stereo FM radio| RDS,Dual SIM (Micro-SIM| dual stand-by),5 MP,Accelerometer| gyro| proximity,Available. Released 2013 December,microUSB 2.0
779,Oppo,U705T Ulike 2,2012 November,Yes,Non-removable Li-Ion 2020 mAh battery,4.0| A2DP,Dual-core 1.0 GHz Cortex-A9,Mediatek MT6517,White,127 x 63.7 x 9 mm (5.0 x 2.51 x 0.35 in),TFT capacitive touchscreen 16M colors,PowerVR SGX531u,16 GB,Yes,No,GSM,Android 4.0.4 (Ice Cream Sandwich),8 MP| autofocus| LED flash,1 GB RAM,No,Micro-SIM,5 MP,Accelerometer| proximity| compass,Available. Released 2012 December,microUSB 2.0
780,Oppo,Find,2012 June,Yes,Non-removable Li-Ion 1500 mAh battery,2.0| A2DP,Dual-core 1.5 GHz Krait,(undefined),White| Black,125 x 66 x 6.7 mm (4.92 x 2.60 x 0.26 in),Super AMOLED Plus capacitive touchscreen 16M colors,(undefined),16 GB,Yes,No,GSM / HSPA,Android 4.0.4 (Ice Cream Sandwich),8 MP| autofocus| dual-LED flash,1 GB RAM,(undefined),Micro-SIM,1.3 MP,Accelerometer| gyro| proximity| compass,Available. Released 2012 July,microUSB 2.0
781,Oppo,R1x,2015 January,Yes,Non-removable Li-Po 2420 mAh battery,4.0| A2DP| EDR,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Dark blue| White,140.6 x 70.1 x 6.8 mm (5.54 x 2.76 x 0.27 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 4.4 (KitKat),13 MP| autofocus| LED flash|,2 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP,Accelerometer| proximity| compass,Available. Released 2015 January,microUSB 2.0| USB Host
782,Oppo,Neo 5 (2015),2015 June,Yes,Non-removable Li-Po 2000 mAh battery,4.0| A2DP,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Blue| White,131.9 x 65.5 x 8 mm (5.19 x 2.58 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,8/16 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat),8 MP| f/2.0| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM),2 MP,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0| USB Host
783,Oppo,Find 5 Mini,2014 January,Yes,Removable Li-Po 2000 mAh battery,4.0| A2DP| LE,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,White| Black,137 x 68 x 7.7 mm (5.39 x 2.68 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.2.2 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity| compass,Available. Released 2014 January,microUSB 2.0
784,Oppo,Mirror 5s,2015 July,Yes,Non-removable Li-Po 2420 mAh battery,4.0| A2DP,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,White,143.4 x 71.2 x 7.7 mm (5.65 x 2.80 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),8 MP| autofocus| LED flash,2 GB RAM,To be confirmed,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),5 MP,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0| USB Host
785,Oppo,Find 7,2014 March,Yes,Removable Li-Po 3000 mAh battery,4.0| A2DP,Quad-core 2.5 GHz Krait 400,Qualcomm MSM8974AC Snapdragon 801,White| Black| Astro Black,152.6 x 75 x 9.2 mm (6.01 x 2.95 x 0.36 in),IPS LCD capacitive touchscreen 16M colors,Adreno 330,32 GB,Yes with stereo speakers,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 4.3 (Jelly Bean),13 MP| f/2.0| autofocus| dual-LED flash|,3 GB RAM,No,Micro-SIM,5 MP| f/2.0,Accelerometer| gyro| proximity| compass,Available. Released 2014 May,microUSB 2.0| USB Host
786,Oppo,R11 Plus,2017 June,Yes,Non-removable Li-Po 4000 mAh battery,4.2| A2DP| LE| EDR,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),Qualcomm MSM8956 Plus Snapdragon 660,Black| Gold| Rose Gold,165.8 x 81.5 x 7.8 mm (6.53 x 3.21 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Adreno 512,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / CDMA / HSPA / EVDO / LTE,Android 7.1.1 (Nougat),Dual 20 MP (f/2.6| AF) + 16 MP (f/1.7| PDAF)| phase detection autofocus| LED flash,6 GB RAM,To be confirmed,Dual SIM (Nano-SIM| dual stand-by),20 MP| f/2.0| 1080p,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Coming soon. Exp. release 2017 July,microUSB 2.0| USB On-The-Go
787,Oppo,Neo,2014 February,Yes,Removable Li-Ion 1900 mAh battery,2.1| A2DP,Dual-core 1.3 GHz,(undefined),White| Black,132 x 65.8 x 9.2 mm (5.20 x 2.59 x 0.36 in),IPS LCD capacitive touchscreen 16M colors,(undefined),4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.2.1 (Jelly Bean),5 MP,512 MB RAM,FM radio,Single SIM or Dual SIM (dual stand-by),2 MP,Accelerometer| proximity,Available. Released 2014 Q1,microUSB 2.0
788,Oppo,R7s,2015 October,Yes,Non-removable Li-Po 3070 mAh battery,4.0| A2DP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Golden,151.8 x 75.4 x 7 mm (5.98 x 2.97 x 0.28 in),AMOLED capacitive touchscreen 16M colors,Adreno 405,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.2| phase detection autofocus| LED flash|,4 GB RAM,No,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.4,Accelerometer| proximity| compass,Available. Released 2015 December,microUSB 2.0| USB Host
789,Oppo,Joy Plus,2015 April,Yes,Removable Li-Ion 1700 mAh battery,4.0| A2DP| EDR,Dual-core 1.3 GHz Cortex-A7,Mediatek MT6572,White| Blue,124 x 63 x 9.9 mm (4.88 x 2.48 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Mali-400,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.4 (KitKat),3.15 MP| LED flash,1 GB RAM,FM radio,Dual SIM (Mini-SIM/ Micro-SIM),VGA,Accelerometer| proximity,Available. Released 2015 May,microUSB 2.0
790,Oppo,Mirror 3,2015 January,Yes,Removable Li-Po 2000 mAh battery,4.0| A2DP,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,White| Blue,137.7 x 68.8 x 8.9 mm (5.42 x 2.71 x 0.35 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,8 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4 (KitKat),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP,Accelerometer| proximity| compass,Available. Released 2015 January,microUSB 2.0| USB Host
791,Oppo,R601,2012 November,Yes,Li-Ion 1100 mAh battery,Yes,1.0 GHz Cortex-A9,Mediatek MT6515,White,112.8 x 55.5 x 14.3 mm (4.44 x 2.19 x 0.56 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX531,4 GB (2 GB user available),Yes,microSD up to 32 GB (dedicated slot),GSM,Android 4.0.4 (Ice Cream Sandwich),3.15 MP,512 MB RAM,No,Yes,No,Accelerometer| proximity,Available. Released 2012 December,microUSB 2.0
792,Oppo,R2001 Yoyo,2014 May,Yes,Removable Li-Ion 1900 mAh battery,2.1,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,White| Black,-,IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.2.1 (Jelly Bean),5 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (dual stand-by),2 MP,Accelerometer| proximity,Available. Released 2014 May,microUSB 2.0
793,Oppo,R811 Real,2012 October,Yes,Removable Li-Ion 1520 mAh battery,Yes,1.0 GHz Cortex-A9,Mediatek MT6515,White,115.2 x 61.5 x 10.9 mm (4.54 x 2.42 x 0.43 in),TFT capacitive touchscreen 16M colors,PowerVR SGX531,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM,Android 4.0.4 (Ice Cream Sandwich),3.15 MP| autofocus,512 MB RAM,No,Dual SIM (Mini-SIM| dual stand-by),Yes,Accelerometer| proximity,Available. Released 2012 December,microUSB 2.0
794,Oppo,F1,2016 January,Yes,Non-removable Li-Po 2500 mAh battery,4.0| A2DP,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939v2 Snapdragon 616,White/Gold,143.5 x 71 x 7.3 mm (5.65 x 2.80 x 0.29 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.2| phase detection autofocus| LED flash|,3 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),"8 MP| f/2.0| 1/4"" sensor size| 1080p",Accelerometer| proximity| compass,Available. Released 2016 January,microUSB 2.0| USB Host
795,Oppo,F1 Plus,2016 March,Yes,Non-removable Li-Po 2850 mAh battery,4.0| A2DP,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mediatek MT6755 Helio P10,Gold| Rose Gold,151.8 x 74.3 x 6.6 mm (5.98 x 2.93 x 0.26 in),AMOLED capacitive touchscreen 16M colors,Mali-T860MP2,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.2| phase detection autofocus| LED flash|,4 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),16 MP| f/2.0,Fingerprint (front-mounted)| accelerometer| proximity| compass,Available. Released 2016 March,microUSB 2.0| USB Host
796,Oppo,Joy 3,2015 June,Yes,Removable Li-Po 2000 mAh battery,4.0| A2DP| EDR,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,White| Gray,132.8 x 66.6 x 9 mm (5.23 x 2.62 x 0.35 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.4 (KitKat),5 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity,Available. Released 2015 August,microUSB 2.0| USB Host
797,Oppo,R9 Plus,2016 March,Yes,Non-removable Li-Po 4120 mAh battery,4.1| A2DP| LE,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Gold,163.1 x 80.8 x 7.4 mm (6.42 x 3.18 x 0.29 in),Capacitive touchscreen 16M colors,Adreno 510,64/128 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / CDMA / HSPA / EVDO / LTE,Android 5.1 (Lollipop)| upgradable to 6.0 (Marshmallow),16 MP| f/2.0| phase detection autofocus| LED flash,4 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),16 MP| f/2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 March,microUSB 2.0| USB Host
798,Oppo,Neo 5s,2015 May,Yes,Non-removable Li-Po 2000 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Blue| White,131.9 x 65.5 x 8 mm (5.19 x 2.58 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,8 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4.2 (KitKat),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM),2 MP,Accelerometer| proximity| compass,Available. Released 2015 May,microUSB 2.0| USB Host
799,Oppo,R819,2013 August,Yes,Non-removable Li-Ion 2000 mAh battery,3,Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,White,136.5 x 68 x 7.3 mm (5.37 x 2.68 x 0.29 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544,16 GB,Yes,No,GSM / HSPA,Android 4.2.1 (Jelly Bean),8 MP| autofocus| LED flash|,1 GB RAM,Stereo FM radio| RDS,Dual SIM (Micro-SIM| dual stand-by),1.9 MP,Accelerometer| gyro| proximity,Available. Released 2013 September,microUSB 2.0
800,Oppo,R1S,2014 April,Yes,Non-removable Li-Ion 2410 mAh battery,4.0| A2DP,Quad-core 1.6 GHz Cortex-A7,Qualcomm Snapdragon 400,White| Blue,142.7 x 70.4 x 7.1 mm (5.62 x 2.77 x 0.28 in),IPS LCD capacitive touchscreen 16M colors,Adreno 305,16 GB,Yes,No,GSM / HSPA / LTE,Android 4.3 (Jelly Bean),13 MP| autofocus| LED flash,1 GB RAM,Stereo FM radio| RDS,Micro-SIM,5 MP,Accelerometer| proximity| compass,Available. Released 2014 June,microUSB 2.0
801,Oppo,R7 Plus,2015 May,Yes,Non-removable Li-Po 4100 mAh battery,4.0| LE,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Golden| Silver,158 x 82 x 7.8 mm (6.22 x 3.23 x 0.31 in),AMOLED capacitive touchscreen 16M colors,Adreno 405,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1.1 (Lollipop),13 MP| f/2.2| Schneider-Kreuznach optics| laser autofocus| dual-LED flash|,3 GB RAM,No,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.4,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Available. Released 2015 May,microUSB 2.0| USB Host
